Time - V_S	Amplitude - V_S	Time - V_L	Amplitude - V_L
0,000282	2,7234	0,000282	4,18382
0,000284	4,63122	0,000284	4,87087
0,000286	4,76747	0,000286	3,71129
0,000288	3,09414	0,000288	1,13706
0,00029	0,225522	0,00029	-1,86295
0,000292	-2,7368	0,000292	-4,16079
0,000294	-4,67905	0,000294	-4,88358
0,000296	-4,86812	0,000296	-3,76075
0,000298	-3,2164	0,000298	-1,21168
0,0003	-0,360051	0,0003	1,7906
0,000302	2,60906	0,000302	4,1194
0,000304	4,58613	0,000304	4,87892
0,000306	4,80548	0,000306	3,78892
0,000308	3,19335	0,000308	1,25624
0,00031	0,350818	0,00031	-1,74603
0,000312	-2,62761	0,000312	-4,09154
0,000314	-4,62913	0,000314	-4,89196
0,000316	-4,89002	0,000316	-3,8387
0,000318	-3,30369	0,000318	-1,33182
0,00032	-0,481159	0,00032	1,67625
0,000322	2,50953	0,000322	4,05014
0,000324	4,53942	0,000324	4,88504
0,000326	4,83769	0,000326	3,86751
0,000328	3,28483	0,000328	1,37606
0,00033	0,46935	0,00033	-1,63394
0,000332	-2,51939	0,000332	-4,02358
0,000334	-4,57952	0,000334	-4,89743
0,000336	-4,91322	0,000336	-3,91278
0,000338	-3,40419	0,000338	-1,44938
0,00034	-0,607744	0,00034	1,55901
0,000342	2,40033	0,000342	3,98218
0,000344	4,49175	0,000344	4,88794
0,000346	4,86153	0,000346	3,93998
0,000348	3,3734	0,000348	1,4933
0,00035	0,598189	0,00035	-1,51638
0,000352	-2,41696	0,000352	-3,95272
0,000354	-4,51897	0,000354	-4,89679
0,000356	-4,9451	0,000356	-3,98461
0,000358	-3,49341	0,000358	-1,56373
0,00036	-0,736582	0,00036	1,44402
0,000362	2,28599	0,000362	3,90745
0,000364	4,42894	0,000364	4,88762
0,000366	4,8844	0,000366	4,01117
0,000368	3,47036	0,000368	1,60926
0,00037	0,720909	0,00037	-1,40075
0,000372	-2,30294	0,000372	-3,87928
0,000374	-4,47194	0,000374	-4,89453
0,000376	-4,9596	0,000376	-4,05515
0,000378	-3,5807	0,000378	-1,68129
0,00038	-0,857047	0,00038	1,32613
0,000382	2,1768	0,000382	3,8324
0,000384	4,36871	0,000384	4,8815
0,000386	4,90985	0,000386	4,08074
0,000388	3,55604	0,000388	1,72489
0,00039	0,845561	0,00039	-1,28221
0,000392	-2,18956	0,000392	-3,80359
0,000394	-4,41429	0,000394	-4,88777
0,000396	-4,98247	0,000396	-4,12408
0,000398	-3,66187	0,000398	-1,79854
0,0004	-0,981698	0,0004	1,20985
0,000402	2,06438	0,000402	3,75767
0,000404	4,31781	0,000404	4,87892
0,000406	4,92112	0,000406	4,14839
0,000408	3,6385	0,000408	1,84213
0,00041	0,966025	0,00041	-1,16529
0,000412	-2,07361	0,000412	-3,72403
0,000414	-4,34536	0,000414	-4,88197
0,000416	-4,99471	0,000416	-4,18914
0,000418	-3,75946	0,000418	-1,90998
0,00042	-1,1086	0,00042	1,09068
0,000422	1,9539	0,000422	3,67618
0,000424	4,25307	0,000424	4,86894
0,000426	4,93529	0,000426	4,20991
0,000428	3,72031	0,000428	1,95197
0,00043	1,08907	0,00043	-1,04837
0,000432	-1,96345	0,000432	-3,64351
0,000434	-4,28931	0,000434	-4,86909
0,000436	-5,00276	0,000436	-4,25195
0,000438	-3,8329	0,000438	-2,02175
0,00044	-1,22649	0,00044	0,972789
0,000442	1,83312	0,000442	3,59566
0,000444	4,18897	0,000444	4,85251
0,000446	4,94238	0,000446	4,27175
0,000448	3,81179	0,000448	2,06503
0,00045	1,21791	0,00045	-0,92823
0,000452	-1,84202	0,000452	-3,56008
0,000454	-4,22232	0,000454	-4,85331
0,000456	-5,00952	0,000456	-4,31186
0,000458	-3,91954	0,000458	-2,13255
0,00046	-1,34535	0,00046	0,85168
0,000462	1,71813	0,000462	3,50998
0,000464	4,12036	0,000464	4,83834
0,000466	4,9514	0,000466	4,33199
0,000468	3,88587	0,000468	2,17486
0,00047	1,33257	0,00047	-0,80841
0,000472	-1,72832	0,000472	-3,47537
0,000474	-4,15467	0,000474	-4,8372
0,000476	-5,01886	0,000476	-4,3708
0,000478	-3,99491	0,000478	-2,24206
0,00048	-1,46742	0,00048	0,730572
0,000482	1,60314	0,000482	3,42204
0,000484	4,05562	0,000484	4,81708
0,000486	4,95526	0,000486	4,38707
0,000488	3,95834	0,000488	2,28245
0,00049	1,45497	0,00049	-0,686335
0,000492	-1,61172	0,000492	-3,3884
0,000494	-4,07673	0,000494	-4,81498
0,000496	-5,02241	0,000496	-4,42234
0,000498	-4,06578	0,000498	-2,3519
0,0005	-1,58982	0,0005	0,607852
0,000502	1,48106	0,000502	3,3325
0,000504	3,97381	0,000504	4,79485
0,000506	4,95075	0,000506	4,43828
0,000508	4,03436	0,000508	2,38971
0,00051	1,57125	0,00051	-0,562006
0,000512	-1,48932	0,000512	-3,29951
0,000514	-4,00136	0,000514	-4,79114
0,000516	-5,0179	0,000516	-4,47452
0,000518	-4,14437	0,000518	-2,45851
0,00052	-1,69965	0,00052	0,486743
0,000522	1,36188	0,000522	3,24263
0,000524	3,90359	0,000524	4,77231
0,000526	4,95075	0,000526	4,48724
0,000528	4,1049	0,000528	2,49729
0,00053	1,69171	0,00053	-0,442186
0,000532	-1,36886	0,000532	-3,20803
0,000534	-3,93822	0,000534	-4,76634
0,000536	-5,01693	0,000536	-4,52283
0,000538	-4,20975	0,000538	-2,56223
0,00054	-1,81657	0,00054	0,363058
0,000542	1,24142	0,000542	3,15083
0,000544	3,81887	0,000544	4,74364
0,000546	4,9456	0,000546	4,53524
0,000548	4,17287	0,000548	2,60165
0,00055	1,80187	0,00055	-0,3185
0,000552	-1,24904	0,000552	-3,11333
0,000554	-3,84868	0,000554	-4,73703
0,000556	-5,01113	0,000556	-4,56825
0,000558	-4,27224	0,000558	-2,66465
0,00056	-1,93833	0,00056	0,241305
0,000562	1,11677	0,000562	3,05162
0,000564	3,74415	0,000564	4,71111
0,000566	4,93819	0,000566	4,58033
0,000568	4,236	0,000568	2,70408
0,00057	1,92298	0,00057	-0,19707
0,000572	-1,12439	0,000572	-3,01767
0,000574	-3,76558	0,000574	-4,70095
0,000576	-4,99277	0,000576	-4,61141
0,000578	-4,33569	0,000578	-2,76772
0,00058	-2,04913	0,00058	0,118264
0,000582	0,997913	0,000582	2,9566
0,000584	3,66265	0,000584	4,67632
0,000586	4,91983	0,000586	4,62188
