Time - V_S	Amplitude - V_S	Time - V_L	Amplitude - V_L
0,001298	-4,67068	0,001298	-4,88519
0,0013	-4,86265	0,0013	-3,7659
0,001302	-3,22027	0,001302	-1,22198
0,001304	-0,371324	0,001304	1,78094
0,001306	2,60551	0,001306	4,11134
0,001308	4,5813	0,001308	4,88118
0,00131	4,81257	0,00131	3,79633
0,001312	3,19593	0,001312	1,26558
0,001314	0,361125	0,001314	-1,73895
0,001316	-2,62117	0,001316	-4,08607
0,001318	-4,62397	0,001318	-4,89292
0,00132	-4,88874	0,00132	-3,84385
0,001322	-3,31819	0,001322	-1,3418
0,001324	-0,49501	0,001324	1,66723
0,001326	2,49761	0,001326	4,04564
0,001328	4,53878	0,001328	4,88987
0,00133	4,83834	0,00133	3,87266
0,001332	3,29481	0,001332	1,38475
0,001334	0,4832	0,001334	-1,62042
0,001336	-2,51198	0,001336	-4,01714
0,001338	-4,57791	0,001338	-4,89614
0,00134	-4,91805	0,00134	-3,9189
0,001342	-3,41192	0,001342	-1,45615
0,001344	-0,617406	0,001344	1,55225
0,001346	2,38842	0,001346	3,97542
0,001348	4,48273	0,001348	4,88794
0,00135	4,85799	0,00135	3,94675
0,001352	3,38371	0,001352	1,50264
0,001354	0,609463	0,001354	-1,50833
0,001356	-2,39989	0,001356	-3,94757
0,001358	-4,52219	0,001358	-4,8955
0,00136	-4,94575	0,00136	-3,99266
0,001362	-3,49663	0,001362	-1,57339
0,001364	-0,743668	0,001364	1,43468
0,001366	2,28212	0,001366	3,9023
0,001368	4,43796	0,001368	4,88569
0,00137	4,89374	0,00137	4,01697
0,001372	3,47358	0,001372	1,61892
0,001374	0,727028	0,001374	-1,39076
0,001376	-2,29167	0,001376	-3,87316
0,001378	-4,47001	0,001378	-4,89228
0,00138	-4,96765	0,00138	-4,06223
0,001382	-3,58907	0,001382	-1,6916
0,001384	-0,864455	0,001384	1,31647
0,001386	2,16617	0,001386	3,8266
0,001388	4,37128	0,001388	4,88375
0,00139	4,90179	0,00139	4,08783
0,001392	3,56795	0,001392	1,73391
0,001394	0,857156	0,001394	-1,27287
0,001396	-2,18247	0,001396	-3,79747
0,001398	-4,40978	0,001398	-4,88648
0,0014	-4,97989	0,0014	-4,13116
0,001402	-3,67539	0,001402	-1,80884
0,001404	-0,994582	0,001404	1,19987
0,001406	2,05472	0,001406	3,74769
0,001408	4,3133	0,001408	4,87602
0,00141	4,92402	0,00141	4,1529
0,001412	3,64687	0,001412	1,84761
0,001414	0,978587	0,001414	-1,15499
0,001416	-2,06233	0,001416	-3,71888
0,001418	-4,33698	0,001418	-4,87843
0,00142	-4,99438	0,00142	-4,19397
0,001422	-3,7527	0,001422	-1,92029
0,001424	-1,11569	0,001424	1,08166
0,001426	1,93844	0,001426	3,66781
0,001428	4,24598	0,001428	4,86636
0,00143	4,93336	0,00143	4,21571
0,001432	3,73094	0,001432	1,96453
0,001434	1,10388	0,001434	-1,03581
0,001436	-1,94638	0,001436	-3,63932
0,001438	-4,28255	0,001438	-4,87263
0,00144	-5,00276	0,00144	-4,2542
0,001442	-3,84321	0,001442	-2,03238
0,001444	-1,23648	0,001444	0,96216
0,001446	1,827	0,001446	3,59115
0,001448	4,18189	0,001448	4,85412
0,00145	4,94431	0,00145	4,27626
0,001452	3,81243	0,001452	2,07501
0,001454	1,22564	0,001454	-0,917601
0,001456	-1,83848	0,001456	-3,55267
0,001458	-4,22006	0,001458	-4,85298
0,00146	-5,0121	0,00146	-4,31798
0,001462	-3,92019	0,001462	-2,14221
0,001464	-1,35952	0,001464	0,839763
0,001466	1,7046	0,001466	3,50128
0,001468	4,11553	0,001468	4,83705
0,00147	4,94689	0,00147	4,33424
0,001472	3,8878	0,001472	2,18646
0,001474	1,34127	0,001474	-0,798425
0,001476	-1,72316	0,001476	-3,47118
0,001478	-4,14662	0,001478	-4,83462
0,00148	-5,02209	0,00148	-4,37338
0,001482	-3,99878	0,001482	-2,25366
0,001484	-1,47612	0,001484	0,717043
0,001486	1,59508	0,001486	3,41624
0,001488	4,04757	0,001488	4,8174
0,00149	4,9514	0,00149	4,38997
0,001492	3,96575	0,001492	2,29372
0,001494	1,46753	0,001494	-0,675384
0,001496	-1,59916	0,001496	-3,38003
0,001498	-4,07834	0,001498	-4,81498
0,0015	-5,02788	0,0015	-4,43265
0,001502	-4,0764	0,001502	-2,35963
0,001504	-1,59787	0,001504	0,597545
0,001506	1,4685	0,001506	3,32606
0,001508	3,97091	0,001508	4,79485
0,00151	4,95301	0,00151	4,44086
0,001512	4,04596	0,001512	2,40162
0,001514	1,58091	0,001514	-0,551377
0,001516	-1,48127	0,001516	-3,29403
0,001518	-3,99395	0,001518	-4,78921
0,00152	-5,02112	0,00152	-4,47452
0,001522	-4,14372	0,001522	-2,4685
0,001524	-1,71318	0,001524	0,475792
0,001526	1,349	0,001526	3,2349
0,001528	3,89521	0,001528	4,76973
0,00153	4,94882	0,00153	4,49014
0,001532	4,10973	0,001532	2,5092
0,001534	1,69816	0,001534	-0,431556
0,001536	-1,36306	0,001536	-3,19837
0,001538	-3,91761	0,001538	-4,76151
0,00154	-5,01274	0,00154	-4,52766
0,001542	-4,21265	0,001542	-2,57318
0,001544	-1,83107	0,001544	0,353717
0,001546	1,22918	0,001546	3,13859
0,001548	3,81726	0,001548	4,74203
0,00155	4,93819	0,00155	4,5362
0,001552	4,17995	0,001552	2,61292
0,001554	1,81379	0,001554	-0,307871
0,001556	-1,23841	0,001556	-3,10432
0,001558	-3,84095	0,001558	-4,73123
0,00156	-5,0063	0,00156	-4,56986
0,001562	-4,27643	0,001562	-2,67432
0,001564	-1,9496	0,001564	0,23293
0,001566	1,10904	0,001566	3,04615
0,001568	3,73609	0,001568	4,71078
0,00157	4,93368	0,00157	4,5842
0,001572	4,24341	0,001572	2,71503
0,001574	1,93039	0,001574	-0,185474
0,001576	-1,12342	0,001576	-3,00833
0,001578	-3,76172	0,001578	-4,69773
0,00158	-4,99793	0,00158	-4,61463
0,001582	-4,35148	0,001582	-2,77868
0,001584	-2,06362	0,001584	0,108601
0,001586	0,990183	0,001586	2,94758
0,001588	3,6546	0,001588	4,67277
0,00159	4,91854	0,00159	4,62349
0,001592	4,31202	0,001592	2,81552
0,001594	2,04667	0,001594	-0,062111
0,001596	-0,998447	0,001596	-2,90977
0,001598	-3,68119	0,001598	-4,66617
0,0016	-4,98118	0,0016	-4,6536
0,001602	-4,41106	0,001602	-2,87885
0,001604	-2,17152	0,001604	-0,015729
0,001606	0,860055	0,001606	2,85095
0,001608	3,57923	0,001608	4,63702
0,00161	4,90662	0,00161	4,66408
0,001612	4,37096	0,001612	2,91537
0,001614	2,15457	0,001614	0,0609302
0,001616	-0,877017	0,001616	-2,81282
0,001618	-3,60067	0,001618	-4,62719
0,00162	-4,96862	0,00162	-4,68936
0,001622	-4,46936	0,001622	-2,97676
0,001624	-2,29617	0,001624	-0,135871
0,001626	0,738946	0,001626	2,75014
0,001628	3,4855	0,001628	4,59676
0,00163	4,88601	0,00163	4,70241
0,001632	4,43023	0,001632	3,01265
0,001634	2,26988	0,001634	0,181395
0,001636	-0,746245	0,001636	-2,70781
0,001638	-3,50017	0,001638	-4,58242
0,00164	-4,94736	0,00164	-4,7264
0,001642	-4,5238	0,001642	-3,07178
0,001644	-2,39957	0,001644	-0,260845
0,001646	0,616227	0,001646	2,64739
0,001648	3,39499	0,001648	4,55392
0,00165	4,86314	0,00165	4,73108
0,001652	4,48048	0,001652	3,10831
0,001654	2,3823	0,001654	0,305402
0,001656	-0,627069	0,001656	-2,60635
0,001658	-3,40934	0,001658	-4,53958
0,00166	-4,91837	0,00166	-4,757
0,001662	-4,57437	0,001662	-3,16712
0,001664	-2,50586	0,001664	-0,383564
0,001666	0,494152	0,001666	2,54238
0,001668	3,29932	0,001668	4,5085
0,00167	4,83834	0,00167	4,76007
0,001672	4,52718	0,001672	3,20269
0,001674	2,49052	0,001674	0,426833
0,001676	-0,504028	0,001676	-2,50554
0,001678	-3,314	0,001678	-4,49191
0,00168	-4,88938	0,00168	-4,78309
0,001682	-4,62397	0,001682	-3,26021
0,001684	-2,61473	0,001684	-0,505639
0,001686	0,366601	0,001686	2,43641
0,001688	3,20656	0,001688	4,46051
0,00169	4,81708	0,00169	4,78519
0,001692	4,5784	0,001692	3,29546
0,001694	2,59553	0,001694	0,550197
0,001696	-0,380021	0,001696	-2,39441
0,001698	-3,21834	0,001698	-4,44102
0,0017	-4,86297	0,0017	-4,80725
0,001702	-4,66391	0,001702	-3,3504
0,001704	-2,72456	0,001704	-0,629324
0,001706	0,248391	0,001706	2,32883
0,001708	3,10928	0,001708	4,40639
0,00171	4,78294	0,00171	4,81225
0,001712	4,62897	0,001712	3,38468
0,001714	2,70375	0,001714	0,670339
0,001716	-0,256658	0,001716	-2,28748
0,001718	-3,12718	0,001718	-4,38755
0,00172	-4,82915	0,00172	-4,8314
0,001722	-4,72608	0,001722	-3,43769
0,001724	-2,82957	0,001724	-0,748822
0,001726	0,117941	0,001726	2,22318
0,001728	3,01265	0,001728	4,35614
0,00173	4,7372	0,00173	4,83093
0,001732	4,67084	0,001732	3,46907
0,001734	2,80779	0,001734	0,793381
0,001736	-0,134905	0,001736	-2,17893
0,001738	-3,03023	0,001738	-4,33312
0,00174	-4,79404	0,00174	-4,84815
0,001742	-4,76151	0,001742	-3,52433
0,001744	-2,93232	0,001744	-0,867676
0,001746	-0,00509976	0,001746	2,11109
0,001748	2,91602	0,001748	4,29623
0,00175	4,71143	0,00175	4,848
0,001752	4,71078	0,001752	3,55797
0,001754	2,91248	0,001754	0,914168
0,001756	-0,0115417	0,001756	-2,06684
0,001758	-2,92652	0,001758	-4,27385
0,00176	-4,75442	0,00176	-4,8649
0,001762	-4,80531	0,001762	-3,6113
0,001764	-3,03088	0,001764	-0,990073
0,001766	-0,130074	0,001766	1,999
0,001768	2,80683	0,001768	4,23697
0,00177	4,66408	0,00177	4,8625
0,001772	4,74332	0,001772	3,63946
0,001774	3,01233	0,001774	1,03238
0,001776	0,114398	0,001776	-1,95701
0,001778	-2,82635	0,001778	-4,21394
0,00178	-4,7206	0,00178	-4,87682
0,001782	-4,82399	0,001782	-3,68892
0,001784	-3,12525	0,001784	-1,11054
0,001786	-0,253759	0,001786	1,8882
0,001788	2,70504	0,001788	4,17351
0,00179	4,62768	0,00179	4,87313
0,001792	4,78261	0,001792	3,71999
0,001794	3,10831	0,001794	1,15381
0,001796	0,238084	0,001796	-1,84621
0,001798	-2,71909	0,001798	-4,14791
0,0018	-4,6681	0,0018	-4,88648
0,001802	-4,87521	0,001802	-3,77202
0,001804	-3,22575	0,001804	-1,22939
0,001806	-0,376156	0,001806	1,77353
0,001808	2,60036	0,001808	4,10845
0,00181	4,5784	0,00181	4,88086
0,001812	4,81192	0,001812	3,79826
0,001814	3,20301	0,001814	1,27556
0,001816	0,364024	0,001816	-1,73089
0,001818	-2,61441	0,001818	-4,08188
0,00182	-4,61592	0,00182	-4,89325
0,001822	-4,89872	0,001822	-3,84868
0,001824	-3,31593	0,001824	-1,34696
0,001826	-0,507893	0,001826	1,65918
0,001828	2,48762	0,001828	4,04209
0,00183	4,53395	0,00183	4,88826
0,001832	4,83834	0,001832	3,87653
0,001834	3,29739	0,001834	1,38991
0,001836	0,48932	0,001836	-1,61719
0,001838	-2,50522	0,001838	-4,01327
0,00184	-4,58242	0,00184	-4,89453
0,001842	-4,92513	0,001842	-3,9218
0,001844	-3,41192	0,001844	-1,46355
0,001846	-0,624493	0,001846	1,54709
0,001848	2,37972	0,001848	3,97284
0,00185	4,48466	0,00185	4,8902
0,001852	4,87602	0,001852	3,94772
0,001854	3,38725	0,001854	1,50747
0,001856	0,614294	0,001856	-1,50382
0,001858	-2,39957	0,001858	-3,9437
0,00186	-4,51607	0,00186	-4,89647
0,001862	-4,94994	0,001862	-3,99459
0,001864	-3,50211	0,001864	-1,57854
0,001866	-0,750432	0,001866	1,42888
0,001868	2,276	0,001868	3,8994
0,00187	4,4312	0,00187	4,88826
0,001872	4,88472	0,001872	4,0189
0,001874	3,47777	0,001874	1,62343
0,001876	0,741201	0,001876	-1,38367
0,001878	-2,28587	0,001878	-3,8664
0,00188	-4,45874	0,00188	-4,89035
0,001882	-4,96733	0,001882	-4,06996
0,001884	-3,59229	0,001884	-1,69546
0,001886	-0,877017	0,001886	1,31003
0,001888	2,16134	0,001888	3,82145
0,00189	4,36291	0,00189	4,8844
0,001892	4,90405	0,001892	4,09041
0,001894	3,57053	0,001894	1,74132
0,001896	0,86231	0,001896	-1,26547
0,001898	-2,17571	0,001898	-3,79264
0,0019	-4,40076	0,0019	-4,88841
0,001902	-4,98408	0,001902	-4,13245
0,001904	-3,68345	0,001904	-1,80981
0,001906	-0,997159	0,001906	1,19343
0,001908	2,04635	0,001908	3,74125
0,00191	4,31041	0,00191	4,87763
0,001912	4,91886	0,001912	4,15515
0,001914	3,64784	0,001914	1,85405
0,001916	0,983097	0,001916	-1,15048
0,001918	-2,0575	0,001918	-3,71469
0,00192	-4,33827	0,00192	-4,87779
0,001922	-4,99632	0,001922	-4,20299
0,001924	-3,76622	0,001924	-1,92544
0,001926	-1,1202	0,001926	1,07651
0,001928	1,93071	0,001928	3,66459
0,00193	4,24212	0,00193	4,86604
0,001932	4,93529	0,001932	4,22215
0,001934	3,73319	0,001934	1,97033
0,001936	1,10582	0,001936	-1,03066
0,001938	-1,9438	0,001938	-3,6332
0,00194	-4,28061	0,00194	-4,8649
0,001942	-5,015	0,001942	-4,2629
0,001944	-3,84772	0,001944	-2,03495
0,001946	-1,24195	0,001946	0,955074
0,001948	1,81733	0,001948	3,58019
0,00195	4,17899	0,00195	4,85348
0,001952	4,94399	0,001952	4,28142
0,001954	3,8134	0,001954	2,07888
0,001956	1,22886	0,001956	-0,911481
0,001958	-1,83364	0,001958	-3,54784
0,00196	-4,2162	0,00196	-4,85363
0,001962	-5,01403	0,001962	-4,32056
0,001964	-3,92502	0,001964	-2,14737
0,001966	-1,36338	0,001966	0,833643
0,001968	1,7017	0,001968	3,49774
0,00197	4,1107	0,00197	4,83415
0,001972	4,95204	0,001972	4,33875
0,001974	3,89521	0,001974	2,19065
0,001976	1,35222	0,001976	-0,791661
0,001978	-1,71028	0,001978	-3,46603
0,00198	-4,1434	0,00198	-4,8343
0,001982	-5,03207	0,001982	-4,37596
0,001984	-4,00554	0,001984	-2,25688
0,001986	-1,48481	0,001986	0,71189
0,001988	1,57769	0,001988	3,40787
0,00199	4,03952	0,00199	4,81579
0,001992	4,95687	0,001992	4,39319
0,001994	3,96865	0,001994	2,29726
0,001996	1,47301	0,001996	-0,670552
0,001998	-1,58692	0,001998	-3,37617
0,002	-4,07093	0,002	-4,8124
0,002002	-5,0208	0,002002	-4,42749
0,002004	-4,07383	0,002004	-2,36349
0,002006	-1,6027	0,002006	0,590781
0,002008	1,46496	0,002008	3,32509
0,00201	3,96994	0,00201	4,79195
0,002012	4,95236	0,002012	4,44505
0,002014	4,04241	0,002014	2,40613
0,002016	1,59058	0,002016	-0,545901
0,002018	-1,47612	0,002018	-3,28727
0,00202	-3,99491	0,00202	-4,7876
0,002022	-5,01661	0,002022	-4,48225
0,002024	-4,14823	0,002024	-2,47172
0,002026	-1,71898	0,002026	0,46935
0,002028	1,34546	0,002028	3,232
0,00203	3,89425	0,00203	4,76619
0,002032	4,94721	0,002032	4,49368
0,002034	4,12069	0,002034	2,51114
0,002036	1,69944	0,002036	-0,425437
0,002038	-1,35275	0,002038	-3,19354
0,00204	-3,91375	0,00204	-4,76441
0,002042	-5,01661	0,002042	-4,52863
0,002044	-4,22038	0,002044	-2,57704
0,002046	-1,84073	0,002046	0,347919
0,002048	1,22467	0,002048	3,13634
0,00205	3,81404	0,00205	4,73945
0,002052	4,94463	0,002052	4,54361
0,002054	4,18414	0,002054	2,61679
0,002056	1,8212	0,002056	-0,30304
0,002058	-1,23358	0,002058	-3,10013
0,00206	-3,8329	0,00206	-4,73187
0,002062	-5,00598	0,002062	-4,57437
0,002064	-4,2848	0,002064	-2,68108
0,002066	-1,95314	0,002066	0,224878
0,002068	1,10163	0,002068	3,04099
0,00207	3,73609	0,00207	4,70982
0,002072	4,93594	0,002072	4,58613
0,002074	4,24663	0,002074	2,71857
0,002076	1,93587	0,002076	-0,179677
0,002078	-1,1144	0,002078	-3,00511
0,00208	-3,75624	0,00208	-4,70063
0,002082	-4,99761	0,002082	-4,61817
0,002084	-4,34858	0,002084	-2,78383
0,002086	-2,06716	0,002086	0,103447
0,002088	0,977621	0,002088	2,94372
0,00209	3,64462	0,00209	4,67342
0,002092	4,92144	0,002092	4,62704
0,002094	4,31041	0,002094	2,82164
0,002096	2,05182	0,002096	-0,0572795
0,002098	-0,990395	0,002098	-2,90816
0,0021	-3,67314	0,0021	-4,65972
0,002102	-4,98633	0,002102	-4,65586
0,002104	-4,40978	0,002104	-2,8811
0,002106	-2,1799	0,002106	-0,0195941
0,002108	0,8578	0,002108	2,84483
0,00211	3,56216	0,00211	4,63734
0,002112	4,90308	0,002112	4,66504
0,002114	4,36903	0,002114	2,91924
0,002116	2,16359	0,002116	0,0641512
0,002118	-0,870575	0,002118	-2,80638
0,00212	-3,59004	0,00212	-4,62075
0,002122	-4,96507	0,002122	-4,69805
0,002124	-4,46485	0,002124	-2,97934
0,002126	-2,2907	0,002126	-0,14328
0,002128	0,734437	0,002128	2,74627
0,00213	3,48453	0,00213	4,59611
0,002132	4,89599	0,002132	4,69983
0,002134	4,4312	0,002134	3,01716
0,002136	2,27826	0,002136	0,188159
0,002138	-0,743991	0,002138	-2,70749
0,00214	-3,49341	0,00214	-4,58017
0,002142	-4,94188	0,002142	-4,72382
0,002144	-4,52251	0,002144	-3,07436
0,002146	-2,40343	0,002146	-0,263744
0,002148	0,612039	0,002148	2,64481
0,00215	3,38887	0,00215	4,55263
0,002152	4,86604	0,002152	4,73397
0,002154	4,47887	0,002154	3,10864
0,002156	2,3852	0,002156	0,309912
0,002158	-0,622882	0,002158	-2,6041
0,00216	-3,40741	0,00216	-4,53539
0,002162	-4,91676	0,002162	-4,75829
0,002164	-4,58081	0,002164	-3,17228
0,002166	-2,50747	0,002166	-0,386141
0,002168	0,488354	0,002168	2,5398
0,00217	3,29674	0,00217	4,50399
0,002172	4,8393	0,002172	4,76393
0,002174	4,53524	0,002174	3,20494
0,002176	2,49052	0,002176	0,431987
0,002178	-0,497908	0,002178	-2,50006
0,00218	-3,31529	0,00218	-4,4903
0,002182	-4,89099	0,002182	-4,78341
0,002184	-4,62945	0,002184	-3,26085
0,002186	-2,62504	0,002186	-0,50886
0,002188	0,365957	0,002188	2,43158
0,00219	3,20108	0,00219	4,45825
0,002192	4,80903	0,002192	4,78906
0,002194	4,58355	0,002194	3,29739
0,002196	2,59778	0,002196	0,554384
0,002198	-0,372935	0,002198	-2,39055
0,0022	-3,2164	0,0022	-4,44134
0,002202	-4,86007	0,002202	-4,8095
0,002204	-4,68678	0,002204	-3,3533
0,002206	-2,72489	0,002206	-0,631257
0,002208	0,246458	0,002208	2,32496
0,00221	3,10445	0,00221	4,40446
0,002212	4,781	0,002212	4,81031
0,002214	4,63026	0,002214	3,38661
0,002216	2,70214	0,002216	0,676137
0,002218	-0,25086	0,002218	-2,28683
0,00222	-3,1172	0,00222	-4,38465
0,002222	-4,83076	0,002222	-4,83011
0,002224	-4,71351	0,002224	-3,44606
0,002226	-2,83118	0,002226	-0,750755
0,002228	0,115365	0,002228	2,21577
0,00223	3,00299	0,00223	4,35163
0,002232	4,74847	0,002232	4,8319
0,002234	4,67052	0,002234	3,47551
0,002236	2,80779	0,002236	0,794991
0,002238	-0,127175	0,002238	-2,177
0,00224	-3,02476	0,00224	-4,32796
0,002242	-4,79372	0,002242	-4,85363
0,002244	-4,76408	0,002244	-3,53174
0,002246	-2,93521	0,002246	-0,872829
0,002248	-0,00960912	0,002248	2,10787
0,00225	2,90539	0,00225	4,29655
0,002252	4,71046	0,002252	4,84832
0,002254	4,70756	0,002254	3,55894
0,002256	2,91248	0,002256	0,917711
0,002258	-0,00638815	0,002258	-2,06652
0,00226	-2,92716	0,00226	-4,27127
0,002262	-4,7541	0,002262	-4,86329
0,002264	-4,79919	0,002264	-3,61419
0,002266	-3,0312	0,002266	-0,992971
0,002268	-0,134261	0,002268	1,99803
0,00227	2,80199	0,00227	4,2331
0,002272	4,66569	0,002272	4,86475
0,002274	4,74686	0,002274	3,64462
0,002276	3,0149	0,002276	1,03946
0,002278	0,116331	0,002278	-1,95314
0,00228	-2,82151	0,00228	-4,20685
0,002282	-4,7148	0,002282	-4,87585
0,002284	-4,83656	0,002284	-3,6944
0,002286	-3,13524	0,002286	-1,11505
0,002288	-0,254081	0,002288	1,88497
0,00229	2,70569	0,00229	4,17287
0,002292	4,62639	0,002292	4,87248
0,002294	4,78777	0,002294	3,72611
0,002296	3,10799	0,002296	1,15896
0,002298	0,247425	0,002298	-1,84073
0,0023	-2,71715	0,0023	-4,14598
0,002302	-4,66488	0,002302	-4,88391
0,002304	-4,87134	0,002304	-3,77331
0,002306	-3,2309	0,002306	-1,23229
0,002308	-0,385175	0,002308	1,76934
0,00231	2,59488	0,00231	4,10748
0,002312	4,5813	0,002312	4,88375
0,002314	4,80677	0,002314	3,80438
0,002316	3,20881	0,002316	1,27717
0,002318	0,373043	0,002318	-1,7251
0,00232	-2,61151	0,00232	-4,08124
0,002322	-4,62655	0,002322	-4,89486
0,002324	-4,90484	0,002324	-3,84868
0,002326	-3,32624	0,002326	-1,34953
0,002328	-0,504995	0,002328	1,65596
0,00233	2,48827	0,00233	4,03726
0,002332	4,52525	0,002332	4,88408
0,002334	4,84703	0,002334	3,88007
0,002336	3,299	0,002336	1,39732
0,002338	0,496728	0,002338	-1,60946
0,00234	-2,50618	0,00234	-4,01134
0,002342	-4,57437	0,002342	-4,89486
0,002344	-4,92095	0,002344	-3,92663
0,002346	-3,41546	0,002346	-1,46871
0,002348	-0,637054	0,002348	1,53807
0,00235	2,38165	0,00235	3,96897
0,002352	4,47951	0,002352	4,88859
0,002354	4,85831	0,002354	3,95287
0,002356	3,38887	0,002356	1,51392
0,002358	0,616227	0,002358	-1,49737
0,00236	-2,38604	0,00236	-3,9379
0,002362	-4,51414	0,002362	-4,89776
0,002364	-4,94349	0,002364	-3,99749
0,002366	-3,51177	0,002366	-1,58402
0,002368	-0,75623	0,002368	1,42308
0,00237	2,26731	0,00237	3,8936
0,002372	4,42411	0,002372	4,88665
0,002374	4,88279	0,002374	4,02277
0,002376	3,48453	0,002376	1,62794
0,002378	0,741523	0,002378	-1,37884
0,00238	-2,28007	0,00238	-3,86446
0,002382	-4,45906	0,002382	-4,8926
0,002384	-4,9625	0,002384	-4,06674
0,002386	-3,60131	0,002386	-1,70223
0,002388	-0,879915	0,002388	1,30455
0,00239	2,15328	0,00239	3,82016
0,002392	4,37708	0,002392	4,88472
0,002394	4,90985	0,002394	4,09105
0,002396	3,56828	0,002396	1,74389
0,002398	0,861666	0,002398	-1,26063
0,0024	-2,16798	0,0024	-3,78909
0,002402	-4,40527	0,002402	-4,88648
0,002404	-4,9815	0,002404	-4,13181
0,002406	-3,6857	0,002406	-1,81528
0,002408	-1,0007	0,002408	1,18892
0,00241	2,03829	0,00241	3,73964
0,002412	4,30493	0,002412	4,87506
0,002414	4,92337	0,002414	4,15902
0,002416	3,65492	0,002416	1,85953
0,002418	0,986318	0,002418	-1,14532
0,00242	-2,05331	0,00242	-3,71018
0,002422	-4,33859	0,002422	-4,88068
0,002424	-5,0005	0,002424	-4,19848
0,002426	-3,76784	0,002426	-1,92931
0,002428	-1,11956	0,002428	1,07071
0,00243	1,92491	0,00243	3,65943
0,002432	4,24244	0,002432	4,86862
0,002434	4,93787	0,002434	4,21796
0,002436	3,73674	0,002436	1,97194
0,002438	1,10743	0,002438	-1,0255
0,00244	-1,93961	0,00244	-3,62998
0,002442	-4,27288	0,002442	-4,86619
0,002444	-5,0063	0,002444	-4,26129
0,002446	-3,85512	0,002446	-2,0414
0,002448	-1,24453	0,002448	0,951209
0,00245	1,81443	0,00245	3,57762
0,002452	4,18027	0,002452	4,85122
0,002454	4,94173	0,002454	4,28367
0,002456	3,82338	0,002456	2,08468
0,002458	1,23272	0,002458	-0,906649
0,00246	-1,82076	0,00246	-3,54655
0,002462	-4,21942	0,002462	-4,8488
0,002464	-5,02402	0,002464	-4,3241
0,002466	-3,92888	0,002466	-2,15349
0,002468	-1,36177	0,002468	0,826557
0,00247	1,68946	0,00247	3,49452
0,002472	4,11521	0,002472	4,8364
0,002474	4,9543	0,002474	4,33843
0,002476	3,89843	0,002476	2,19741
0,002478	1,3548	0,002478	-0,786507
0,00248	-1,70416	0,00248	-3,46281
0,002482	-4,13921	0,002482	-4,83527
0,002484	-5,02402	0,002484	-4,3766
0,002486	-4,00748	0,002486	-2,26235
0,002488	-1,48932	0,002488	0,708347
0,00249	1,57705	0,00249	3,40626
0,002492	4,03758	0,002492	4,81482
0,002494	4,95655	0,002494	4,39448
0,002496	3,96736	0,002496	2,30435
0,002498	1,47333	0,002498	-0,666687
0,0025	-1,59078	0,0025	-3,37359
0,002502	-4,06674	0,002502	-4,81272
0,002504	-5,01725	0,002504	-4,4291
0,002506	-4,08317	0,002506	-2,37219
0,002508	-1,61043	0,002508	0,585949
0,00251	1,4598	0,00251	3,31704
0,002512	3,96382	0,002512	4,7926
0,002514	4,95172	0,002514	4,44569
0,002516	4,04692	0,002516	2,41129
0,002518	1,59058	0,002518	-0,540425
0,00252	-1,4729	0,00252	-3,28405
0,002522	-3,99556	0,002522	-4,78792
0,002524	-5,02273	0,002524	-4,48225
0,002526	-4,15403	0,002526	-2,47848
0,002528	-1,7222	0,002528	0,465485
0,00253	1,33451	0,00253	3,22427
0,002532	3,90069	0,002532	4,76715
0,002534	4,94657	0,002534	4,49594
0,002536	4,11779	0,002536	2,5179
0,002538	1,71168	0,002538	-0,420605
0,00254	-1,3505	0,00254	-3,18806
0,002542	-3,916	0,002542	-4,75893
0,002544	-5,02112	0,002544	-4,52927
0,002546	-4,21909	0,002546	-2,58284
0,002548	-1,84395	0,002548	0,342121
0,00255	1,22081	0,00255	3,13312
0,002552	3,80921	0,002552	4,73977
0,002554	4,94173	0,002554	4,54361
0,002556	4,18382	0,002556	2,62258
0,002558	1,82796	0,002558	-0,29692
0,00256	-1,23261	0,00256	-3,09691
0,002562	-3,83322	0,002562	-4,72898
0,002564	-5,00373	0,002564	-4,57469
0,002566	-4,28673	0,002566	-2,68623
0,002568	-1,96023	0,002568	0,221335
0,00257	1,0997	0,00257	3,03874
0,002572	3,73029	0,002572	4,70563
0,002574	4,9311	0,002574	4,59354
0,002576	4,24727	0,002576	2,72533
0,002578	1,94456	0,002578	-0,174523
0,00258	-1,10957	0,00258	-2,99931
0,002582	-3,75109	0,002582	-4,69709
0,002584	-4,99567	0,002584	-4,61785
0,002586	-4,35212	0,002586	-2,78705
0,002588	-2,07135	0,002588	0,0960388
0,00259	0,977943	0,00259	2,94147
0,002592	3,64751	0,002592	4,67342
0,002594	4,91951	0,002594	4,62607
0,002596	4,31202	0,002596	2,82551
0,002598	2,05537	0,002598	-0,0534144
0,0026	-0,992649	0,0026	-2,90139
0,002602	-3,66766	0,002602	-4,66069
0,002604	-4,98762	0,002604	-4,65779
0,002606	-4,42008	0,002606	-2,88207
0,002608	-2,18505	0,002608	-0,025714
0,00261	0,852647	0,00261	2,84033
0,002612	3,55829	0,002612	4,6309
0,002614	4,90244	0,002614	4,66794
0,002616	4,37676	0,002616	2,92633
0,002618	2,17068	0,002618	0,0693047
0,00262	-0,862844	0,00262	-2,80251
0,002622	-3,58231	0,002622	-4,62107
0,002624	-4,96153	0,002624	-4,69548
